doc_id,company_name,stock_code,announcement_type,found,section_count,quality_issues
万科A_plan,万科A,2,方案公告,True,3,none
万科A_progress,万科A,2,进展公告,True,2,none
万科A_result,万科A,2,结果公告,True,3,none
三一重工_plan,三一重工,600031,方案公告,True,2,none
三一重工_progress,三一重工,600031,进展公告,True,2,none
三一重工_result,三一重工,600031,结果公告,True,3,none
三七互娱_plan,三七互娱,2555,方案公告,False,0,none
三七互娱_progress,三七互娱,2555,进展公告,True,2,none
三七互娱_result,三七互娱,2555,结果公告,True,3,none
东方财富_plan,东方财富,300059,方案公告,False,0,none
东方财富_progress,东方财富,300059,进展公告,True,2,none
中兴通讯_plan,中兴通讯,63,方案公告,True,2,none
中国平安_plan,中国平安,601318,方案公告,True,2,none
中国平安_progress,中国平安,601318,进展公告,True,2,none
中国平安_result,中国平安,601318,结果公告,True,3,none
中国建筑_plan,中国建筑,601668,方案公告,True,3,none
中国建筑_result,中国建筑,601668,结果公告,True,3,none
中联重科_plan,中联重科,157,方案公告,False,0,none
中联重科_progress,中联重科,157,进展公告,True,2,none
中联重科_result,中联重科,157,结果公告,False,0,none
京东方Ａ_plan,京东方Ａ,725,方案公告,False,0,none
京东方Ａ_progress,京东方Ａ,725,进展公告,True,2,none
伊利股份_plan,伊利股份,600887,方案公告,True,2,none
伊利股份_progress,伊利股份,600887,进展公告,True,2,none
伊利股份_result,伊利股份,600887,结果公告,True,3,none
保利发展_plan,保利发展,600048,方案公告,True,2,none
保利发展_progress,保利发展,600048,进展公告,True,2,none
保利发展_result,保利发展,600048,结果公告,True,3,none
信立泰_plan,信立泰,2294,方案公告,False,0,none
信立泰_progress,信立泰,2294,进展公告,True,2,none
信立泰_result,信立泰,2294,结果公告,False,0,none
兆易创新_plan,兆易创新,603986,方案公告,True,2,none
兆易创新_progress,兆易创新,603986,进展公告,True,2,none
兆易创新_result,兆易创新,603986,结果公告,True,3,none
创新医疗_plan,创新医疗,2173,方案公告,False,0,none
创新医疗_progress,创新医疗,2173,进展公告,True,3,none
创新医疗_result,创新医疗,2173,结果公告,False,0,none
同力股份_plan,同力股份,834599,方案公告,False,0,none
同力股份_progress,同力股份,834599,进展公告,False,0,none
同力股份_result,同力股份,834599,结果公告,False,0,none
国邦医药_plan,国邦医药,605507,方案公告,True,3,none
国邦医药_progress,国邦医药,605507,进展公告,True,3,none
大华股份_plan,大华股份,2236,方案公告,False,0,none
大华股份_progress,大华股份,2236,进展公告,True,2,none
大华股份_result,大华股份,2236,结果公告,True,3,none
完美世界_plan,完美世界,2624,方案公告,False,0,none
完美世界_progress,完美世界,2624,进展公告,True,2,none
完美世界_result,完美世界,2624,结果公告,True,3,none
广宇集团_plan,广宇集团,2133,方案公告,True,3,none
广宇集团_progress,广宇集团,2133,进展公告,True,2,none
康强电子_plan,康强电子,2119,方案公告,False,0,none
康强电子_progress,康强电子,2119,进展公告,True,2,none
康强电子_result,康强电子,2119,结果公告,True,3,none
恒瑞医药_plan,恒瑞医药,600276,方案公告,True,3,none
恒瑞医药_progress,恒瑞医药,600276,进展公告,True,2,none
恒瑞医药_result,恒瑞医药,600276,结果公告,True,3,none
招商蛇口_plan,招商蛇口,1979,方案公告,False,0,none
招商蛇口_progress,招商蛇口,1979,进展公告,True,2,none
招商蛇口_result,招商蛇口,1979,结果公告,True,3,none
方大集团_plan,方大集团,55,方案公告,True,2,none
方大集团_progress,方大集团,55,进展公告,True,2,none
方大集团_result,方大集团,55,结果公告,True,3,none
智飞生物_result,智飞生物,300122,结果公告,True,3,none
智飞生物_progress,智飞生物,300122,进展公告,True,2,none
格力电器_plan,格力电器,651,方案公告,True,3,none
格力电器_progress,格力电器,651,进展公告,True,2,none
格力电器_result,格力电器,651,结果公告,True,3,none
歌尔股份_plan,歌尔股份,2241,方案公告,False,0,none
歌尔股份_progress,歌尔股份,2241,进展公告,True,2,none
歌尔股份_result,歌尔股份,2241,结果公告,True,3,none
比亚迪_plan,比亚迪,2594,方案公告,False,0,none
比亚迪_progress,比亚迪,2594,进展公告,True,2,none
海利得_plan,海 利 得,2206,方案公告,False,0,none
海利得_progress,海 利 得,2206,进展公告,True,2,none
海天味业_plan,海天味业,603288,方案公告,True,3,none
海天味业_progress,海天味业,603288,进展公告,True,2,none
海天味业_result,海天味业,603288,结果公告,True,3,none
海尔智家_plan,海尔智家,600690,方案公告,True,3,none
海尔智家_progress,海尔智家,600690,进展公告,True,2,none
海尔智家_result,海尔智家,600690,结果公告,True,3,none
海康威视_plan,海康威视,2415,方案公告,True,3,none
海康威视_progress,海康威视,2415,进展公告,True,2,none
海康威视_result,海康威视,2415,结果公告,False,0,none
海螺水泥_plan,海螺水泥,600585,方案公告,True,3,none
海螺水泥_progress,海螺水泥,600585,进展公告,True,2,none
海螺水泥_result,海螺水泥,600585,结果公告,True,3,none
爱尔眼科_plan,爱尔眼科,300015,方案公告,False,0,none
爱尔眼科_progress,爱尔眼科,300015,进展公告,True,2,none
爱尔眼科_result,爱尔眼科,300015,结果公告,False,0,none
爱玛科技_plan,爱玛科技,603529,方案公告,True,2,none
爱玛科技_progress,爱玛科技,603529,进展公告,True,2,none
爱玛科技_result,爱玛科技,603529,结果公告,True,3,none
牧原股份_plan,牧原股份,2714,方案公告,False,0,none
牧原股份_progress,牧原股份,2714,进展公告,True,2,none
牧原股份_result,牧原股份,2714,结果公告,True,3,none
用友网络_plan,用友网络,600588,方案公告,True,2,none
用友网络_progress,用友网络,600588,进展公告,True,2,none
用友网络_result,用友网络,600588,结果公告,True,3,none
百利天恒_plan,百利天恒,688506,方案公告,True,3,none
百利天恒_progress,百利天恒,688506,进展公告,True,2,none
百利天恒_result,百利天恒,688506,结果公告,True,3,none
科大讯飞_plan,科大讯飞,2230,方案公告,False,0,none
科大讯飞_progress,科大讯飞,2230,进展公告,True,2,none
科大讯飞_result,科大讯飞,2230,结果公告,True,3,none
紫金矿业_plan,紫金矿业,601899,方案公告,True,3,none
紫金矿业_progress,紫金矿业,601899,进展公告,True,2,none
紫金矿业_result,紫金矿业,601899,结果公告,True,3,none
药明康德_plan,药明康德,603259,方案公告,True,2,none
药明康德_progress,药明康德,603259,进展公告,True,2,none
药明康德_result,药明康德,603259,结果公告,True,3,none
蓝思科技_plan,蓝思科技,300433,方案公告,False,0,none
蓝思科技_progress,蓝思科技,300433,进展公告,True,2,none
蓝思科技_result,蓝思科技,300433,结果公告,False,0,none
贵州茅台_plan,贵州茅台,600519,方案公告,True,3,none
贵州茅台_progress,贵州茅台,600519,进展公告,True,2,none
贵州茅台_result,贵州茅台,600519,结果公告,True,3,none
迈瑞医疗_plan,迈瑞医疗,300760,方案公告,False,0,none
迈瑞医疗_result,迈瑞医疗,300760,结果公告,True,3,none
通威股份_plan,通威股份,600438,方案公告,True,3,none
通威股份_progress,通威股份,600438,进展公告,True,2,none
通威股份_result,通威股份,600438,结果公告,True,3,none
金山办公_plan,金山办公,688111,方案公告,True,3,none
金山办公_progress,金山办公,688111,进展公告,True,2,none
金山办公_result,金山办公,688111,结果公告,True,3,none
长春高新_plan,长春高新,661,方案公告,False,0,none
长春高新_progress,长春高新,661,进展公告,True,3,none
长春高新_result,长春高新,661,结果公告,True,3,none
陕西煤业_plan,陕西煤业,601225,方案公告,False,0,none
陕西煤业_progress,陕西煤业,601225,进展公告,True,2,none
陕西煤业_result,陕西煤业,601225,结果公告,True,3,none
隆基绿能_plan,隆基绿能,601012,方案公告,True,2,none
隆基绿能_progress,隆基绿能,601012,进展公告,True,2,none
隆基绿能_result,隆基绿能,601012,结果公告,True,3,none
韦尔股份_plan,韦尔股份,603501,方案公告,True,2,none
韦尔股份_progress,韦尔股份,603501,进展公告,True,2,none
韦尔股份_result,韦尔股份,603501,结果公告,True,3,none
顺丰控股_result,顺丰控股,2352,结果公告,True,2,none
顺丰控股_progress,顺丰控股,2352,进展公告,True,2,none
东方财富_result,东方财富,,结果公告,True,3,none
中兴通讯_progress,中兴通讯,,进展公告,True,3,none
京东方Ａ_result,京东方Ａ,,结果公告,False,0,none
国邦医药_progress_1,国邦医药,,进展公告,True,2,none
广宇集团_result,广宇集团,,结果公告,False,0,none
智飞生物_plan_1,智飞生物,,方案公告,False,0,none
比亚迪_result,比亚迪,,结果公告,False,0,none
海利得_result,海利得,,结果公告,True,3,none
顺丰控股_plan_1,顺丰控股,,方案公告,True,3,none
